"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.51","53.03","QUESNEL","1096629","2021-01-01","2021","01","01","","6.0","","-2.7","","1.7","","16.3","","0.0","","","","","","12.2","","","","16","","39",""
"-122.51","53.03","QUESNEL","1096629","2021-01-02","2021","01","02","","7.7","","0.3","","4.0","","14.0","","0.0","","","","","","0.2","","","","19","","55",""
"-122.51","53.03","QUESNEL","1096629","2021-01-03","2021","01","03","","3.0","","-8.2","","-2.6","","20.6","","0.0","","","","","","0.0","","","","3","","63",""
"-122.51","53.03","QUESNEL","1096629","2021-01-04","2021","01","04","","2.6","","-9.4","","-3.4","","21.4","","0.0","","","","","","1.4","","","","14","","32",""
"-122.51","53.03","QUESNEL","1096629","2021-01-05","2021","01","05","","4.9","","-5.4","","-0.3","","18.3","","0.0","","","","","","0.0","","","","17","","76",""
"-122.51","53.03","QUESNEL","1096629","2021-01-06","2021","01","06","","7.2","","-4.5","","1.4","","16.6","","0.0","","","","","","0.0","","","","16","","42",""
"-122.51","53.03","QUESNEL","1096629","2021-01-07","2021","01","07","","-0.6","","-9.2","","-4.9","","22.9","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-01-08","2021","01","08","","4.7","","-9.5","","-2.4","","20.4","","0.0","","","","","","0.0","","","","15","","35",""
"-122.51","53.03","QUESNEL","1096629","2021-01-09","2021","01","09","","3.4","","-9.4","","-3.0","","21.0","","0.0","","","","","","0.0","","","","14","","50",""
"-122.51","53.03","QUESNEL","1096629","2021-01-10","2021","01","10","","5.4","","1.0","","3.2","","14.8","","0.0","","","","","","0.0","","","","15","","54",""
"-122.51","53.03","QUESNEL","1096629","2021-01-11","2021","01","11","","8.6","","-2.4","","3.1","","14.9","","0.0","","","","","","0.0","","","","17","","52",""
"-122.51","53.03","QUESNEL","1096629","2021-01-12","2021","01","12","","7.2","","-0.7","","3.3","","14.7","","0.0","","","","","","0.7","","","","16","","63",""
"-122.51","53.03","QUESNEL","1096629","2021-01-13","2021","01","13","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-01-14","2021","01","14","","2.0","","-6.9","","-2.5","","20.5","","0.0","","","","","","0.0","","","","14","","46",""
"-122.51","53.03","QUESNEL","1096629","2021-01-15","2021","01","15","","5.4","","-2.0","","1.7","","16.3","","0.0","","","","","","0.0","","","","15","","52",""
"-122.51","53.03","QUESNEL","1096629","2021-01-16","2021","01","16","","0.9","","-2.9","","-1.0","","19.0","","0.0","","","","","","0.2","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-01-17","2021","01","17","","4.2","","-4.8","","-0.3","","18.3","","0.0","","","","","","0.0","","","","15","","33",""
"-122.51","53.03","QUESNEL","1096629","2021-01-18","2021","01","18","","3.3","","-5.4","","-1.1","","19.1","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-01-19","2021","01","19","","8.5","","-4.7","","1.9","","16.1","","0.0","","","","","","0.0","","","","29","","80",""
"-122.51","53.03","QUESNEL","1096629","2021-01-20","2021","01","20","","0.2","","-9.0","","-4.4","","22.4","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-01-21","2021","01","21","","-5.2","","-11.8","","-8.5","","26.5","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-01-22","2021","01","22","","-9.3","","-11.9","","-10.6","","28.6","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-01-23","2021","01","23","","-5.0","","-12.0","","-8.5","","26.5","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-01-24","2021","01","24","","-3.2","","-6.0","","-4.6","","22.6","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-01-25","2021","01","25","","-2.2","","-9.1","","-5.7","","23.7","","0.0","","","","","","0.2","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-01-26","2021","01","26","","-0.6","","-8.9","","-4.8","","22.8","","0.0","","","","","","","M","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-01-27","2021","01","27","","-4.1","","-11.7","","-7.9","","25.9","","0.0","","","","","","0.0","","","","33","","37",""
"-122.51","53.03","QUESNEL","1096629","2021-01-28","2021","01","28","","-11.7","","-13.8","","-12.8","","30.8","","0.0","","","","","","0.0","","","","32","","35",""
"-122.51","53.03","QUESNEL","1096629","2021-01-29","2021","01","29","","-5.8","","-15.7","","-10.8","","28.8","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-01-30","2021","01","30","","-2.8","","-13.7","","-8.3","","26.3","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-01-31","2021","01","31","","0.9","","-9.5","","-4.3","","22.3","","0.0","","","","","","0.6","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-02-01","2021","02","01","","-0.1","","-3.6","","-1.9","","19.9","","0.0","","","","","","0.2","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-02-02","2021","02","02","","-1.4","","-8.0","","-4.7","","22.7","","0.0","","","","","","0.0","","","","33","","35",""
"-122.51","53.03","QUESNEL","1096629","2021-02-03","2021","02","03","","-4.2","","-10.6","","-7.4","","25.4","","0.0","","","","","","0.0","","","","33","","35",""
"-122.51","53.03","QUESNEL","1096629","2021-02-04","2021","02","04","","-0.4","","-4.2","","-2.3","","20.3","","0.0","","","","","","0.4","","","","14","","32",""
"-122.51","53.03","QUESNEL","1096629","2021-02-05","2021","02","05","","-0.3","","-8.5","","-4.4","","22.4","","0.0","","","","","","0.2","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-02-06","2021","02","06","","-2.5","","-13.9","","-8.2","","26.2","","0.0","","","","","","0.0","","","","33","","35",""
"-122.51","53.03","QUESNEL","1096629","2021-02-07","2021","02","07","","-11.9","","-22.9","","-17.4","","35.4","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-02-08","2021","02","08","","-17.1","","-30.6","","-23.9","","41.9","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-02-09","2021","02","09","","-19.6","","-31.0","","-25.3","","43.3","","0.0","","","","","","0.8","","","","32","","35",""
"-122.51","53.03","QUESNEL","1096629","2021-02-10","2021","02","10","","-19.4","","-34.6","","-27.0","","45.0","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-02-11","2021","02","11","","-18.7","","-36.2","","-27.5","","45.5","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-02-12","2021","02","12","","-18.6","","-30.6","","-24.6","","42.6","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-02-13","2021","02","13","","-17.2","","-29.6","","-23.4","","41.4","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-02-14","2021","02","14","","-3.7","","-23.0","","-13.4","","31.4","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-02-15","2021","02","15","","-1.1","","-7.8","","-4.5","","22.5","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-02-16","2021","02","16","","-1.1","","-9.4","","-5.3","","23.3","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-02-17","2021","02","17","","-2.4","","-18.2","","-10.3","","28.3","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-02-18","2021","02","18","","0.1","","-16.7","","-8.3","","26.3","","0.0","","","","","","0.0","","","","17","","41",""
"-122.51","53.03","QUESNEL","1096629","2021-02-19","2021","02","19","","2.5","","-10.2","","-3.9","","21.9","","0.0","","","","","","0.0","","","","15","","35",""
"-122.51","53.03","QUESNEL","1096629","2021-02-20","2021","02","20","","2.2","","-12.6","","-5.2","","23.2","","0.0","","","","","","0.0","","","","16","","37",""
"-122.51","53.03","QUESNEL","1096629","2021-02-21","2021","02","21","","10.7","","1.5","","6.1","","11.9","","0.0","","","","","","15.7","","","","24","","50",""
"-122.51","53.03","QUESNEL","1096629","2021-02-22","2021","02","22","","7.4","","-8.0","","-0.3","","18.3","","0.0","","","","","","","M","","","32","","52",""
"-122.51","53.03","QUESNEL","1096629","2021-02-23","2021","02","23","","2.9","","-7.9","","-2.5","","20.5","","0.0","","","","","","","M","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-02-24","2021","02","24","","2.0","","-13.6","","-5.8","","23.8","","0.0","","","","","","0.0","","","","17","","63",""
"-122.51","53.03","QUESNEL","1096629","2021-02-25","2021","02","25","","4.4","","-1.4","","1.5","","16.5","","0.0","","","","","","2.5","","","","13","","37",""
"-122.51","53.03","QUESNEL","1096629","2021-02-26","2021","02","26","","3.0","","-5.0","","-1.0","","19.0","","0.0","","","","","","0.0","","","","29","","41",""
"-122.51","53.03","QUESNEL","1096629","2021-02-27","2021","02","27","","2.3","","-15.8","","-6.8","","24.8","","0.0","","","","","","0.0","","","","36","","46",""
"-122.51","53.03","QUESNEL","1096629","2021-02-28","2021","02","28","","4.0","","-1.0","","1.5","","16.5","","0.0","","","","","","7.3","","","","13","","41",""
"-122.51","53.03","QUESNEL","1096629","2021-03-01","2021","03","01","","7.6","","-3.9","","1.9","","16.1","","0.0","","","","","","2.5","","","","32","","45",""
"-122.51","53.03","QUESNEL","1096629","2021-03-02","2021","03","02","","3.8","","-7.9","","-2.1","","20.1","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-03-03","2021","03","03","","6.3","","-1.3","","2.5","","15.5","","0.0","","","","","","0.0","","","","17","","39",""
"-122.51","53.03","QUESNEL","1096629","2021-03-04","2021","03","04","","13.0","","-3.2","","4.9","","13.1","","0.0","","","","","","0.0","","","","15","","52",""
"-122.51","53.03","QUESNEL","1096629","2021-03-05","2021","03","05","","13.0","","0.6","","6.8","","11.2","","0.0","","","","","","0.2","","","","21","","72",""
"-122.51","53.03","QUESNEL","1096629","2021-03-06","2021","03","06","","8.2","","-2.1","","3.1","","14.9","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-03-07","2021","03","07","","6.2","","-5.9","","0.2","","17.8","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-03-08","2021","03","08","","6.9","","-7.1","","-0.1","","18.1","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-03-09","2021","03","09","","7.0","","-7.8","","-0.4","","18.4","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-03-10","2021","03","10","","2.0","","-8.7","","-3.4","","21.4","","0.0","","","","","","0.0","","","","32","","48",""
"-122.51","53.03","QUESNEL","1096629","2021-03-11","2021","03","11","","3.5","","-11.7","","-4.1","","22.1","","0.0","","","","","","0.0","","","","14","","33",""
"-122.51","53.03","QUESNEL","1096629","2021-03-12","2021","03","12","","9.1","","2.1","","5.6","","12.4","","0.0","","","","","","0.0","","","","14","","37",""
"-122.51","53.03","QUESNEL","1096629","2021-03-13","2021","03","13","","11.1","","2.9","","7.0","","11.0","","0.0","","","","","","0.0","","","","15","","35",""
"-122.51","53.03","QUESNEL","1096629","2021-03-14","2021","03","14","","12.6","","-2.1","","5.3","","12.7","","0.0","","","","","","0.0","","","","33","","72",""
"-122.51","53.03","QUESNEL","1096629","2021-03-15","2021","03","15","","3.4","","-8.8","","-2.7","","20.7","","0.0","","","","","","0.4","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-03-16","2021","03","16","","7.8","","-5.9","","1.0","","17.0","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-03-17","2021","03","17","","10.5","","-2.2","","4.2","","13.8","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-03-18","2021","03","18","","13.9","","-4.4","","4.8","","13.2","","0.0","","","","","","0.2","","","","15","","65",""
"-122.51","53.03","QUESNEL","1096629","2021-03-19","2021","03","19","","11.8","","-1.9","","5.0","","13.0","","0.0","","","","","","0.0","","","","18","","46",""
"-122.51","53.03","QUESNEL","1096629","2021-03-20","2021","03","20","","5.0","","-0.6","","2.2","","15.8","","0.0","","","","","","0.5","","","","33","","45",""
"-122.51","53.03","QUESNEL","1096629","2021-03-21","2021","03","21","","5.9","","-1.2","","2.4","","15.6","","0.0","","","","","","1.2","","","","16","","48",""
"-122.51","53.03","QUESNEL","1096629","2021-03-22","2021","03","22","","7.0","","-2.0","","2.5","","15.5","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-03-23","2021","03","23","","4.7","","-4.1","","0.3","","17.7","","0.0","","","","","","0.5","","","","10","","33",""
"-122.51","53.03","QUESNEL","1096629","2021-03-24","2021","03","24","","9.6","","1.5","","5.6","","12.4","","0.0","","","","","","2.5","","","","33","","45",""
"-122.51","53.03","QUESNEL","1096629","2021-03-25","2021","03","25","","6.8","","-1.3","","2.8","","15.2","","0.0","","","","","","1.5","","","","33","","45",""
"-122.51","53.03","QUESNEL","1096629","2021-03-26","2021","03","26","","6.8","","-2.4","","2.2","","15.8","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-03-27","2021","03","27","","11.0","","0.9","","6.0","","12.0","","0.0","","","","","","0.4","","","","14","","41",""
"-122.51","53.03","QUESNEL","1096629","2021-03-28","2021","03","28","","9.2","","-1.7","","3.8","","14.2","","0.0","","","","","","2.8","","","","33","","61",""
"-122.51","53.03","QUESNEL","1096629","2021-03-29","2021","03","29","","3.8","","-5.8","","-1.0","","19.0","","0.0","","","","","","","M","","","34","","67",""
"-122.51","53.03","QUESNEL","1096629","2021-03-30","2021","03","30","","8.5","","-3.2","","2.7","","15.3","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-03-31","2021","03","31","","10.5","","1.1","","5.8","","12.2","","0.0","","","","","","0.0","","","","18","","35",""
"-122.51","53.03","QUESNEL","1096629","2021-04-01","2021","04","01","","10.8","","-1.4","","4.7","","13.3","","0.0","","","","","","0.0","","","","33","","42",""
"-122.51","53.03","QUESNEL","1096629","2021-04-02","2021","04","02","","6.8","","-2.5","","2.2","","15.8","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-04-03","2021","04","03","","9.0","","-3.2","","2.9","","15.1","","0.0","","","","","","1.0","","","","31","","33",""
"-122.51","53.03","QUESNEL","1096629","2021-04-04","2021","04","04","","7.8","","-1.7","","3.1","","14.9","","0.0","","","","","","6.2","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-04-05","2021","04","05","","12.9","","-5.9","","3.5","","14.5","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-04-06","2021","04","06","","9.7","","0.1","","4.9","","13.1","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2021-04-07","2021","04","07","","5.3","","-0.4","","2.5","","15.5","","0.0","","","","","","3.0","","","","32","","37",""
"-122.51","53.03","QUESNEL","1096629","2021-04-08","2021","04","08","","9.0","","-1.0","","4.0","","14.0","","0.0","","","","","","0.0","","","","16","","42",""
