"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.51","53.03","QUESNEL","1096629","2011-01-01","2011","01","01","","-5.5","","-7.7","","-6.6","","24.6","","0.0","","","M","","M","0.0","","","","16","","33",""
"-122.51","53.03","QUESNEL","1096629","2011-01-02","2011","01","02","","-4.8","","-8.9","","-6.9","","24.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2011-01-03","2011","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-122.51","53.03","QUESNEL","1096629","2011-01-04","2011","01","04","","-0.6","","-3.0","","-1.8","","19.8","","0.0","","","M","","M","13.6","","","","15","","37",""
"-122.51","53.03","QUESNEL","1096629","2011-01-05","2011","01","05","","1.5","","-1.1","","0.2","","17.8","","0.0","","","M","","M","8.9","","","","15","","44",""
"-122.51","53.03","QUESNEL","1096629","2011-01-06","2011","01","06","","1.1","","-5.7","","-2.3","","20.3","","0.0","","","M","","M","0.8","","","","15","","32",""
"-122.51","53.03","QUESNEL","1096629","2011-01-07","2011","01","07","","-1.8","","-7.5","","-4.7","","22.7","","0.0","","","M","","M","7.8","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2011-01-08","2011","01","08","","-4.4","","-10.1","","-7.3","","25.3","","0.0","","","M","","M","0.0","","","","31","","41",""
"-122.51","53.03","QUESNEL","1096629","2011-01-09","2011","01","09","","-9.3","","-21.9","","-15.6","","33.6","","0.0","","","M","","M","0.0","","","","33","","32",""
"-122.51","53.03","QUESNEL","1096629","2011-01-10","2011","01","10","","-13.3","","-20.9","","-17.1","","35.1","","0.0","","","M","","M","0.0","","","","","","<31",""
