"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.51","53.03","QUESNEL","1096629","2019-01-01","2019","01","01","","-0.3","","-3.7","","-2.0","","20.0","","0.0","","","","","","14.2","","","","13","","37",""
"-122.51","53.03","QUESNEL","1096629","2019-01-02","2019","01","02","","1.9","","-0.5","","0.7","","17.3","","0.0","","","","","","7.7","","","","15","","42",""
"-122.51","53.03","QUESNEL","1096629","2019-01-03","2019","01","03","","1.4","","-0.2","","0.6","","17.4","","0.0","","","","","","14.7","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2019-01-04","2019","01","04","","0.5","","-0.3","","0.1","","17.9","","0.0","","","","","","1.7","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2019-01-05","2019","01","05","","0.4","","-2.8","","-1.2","","19.2","","0.0","","","","","","0.2","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2019-01-06","2019","01","06","","2.3","","-2.2","","0.1","","17.9","","0.0","","","","","","5.2","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2019-01-07","2019","01","07","","-0.9","","-17.1","","-9.0","","27.0","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2019-01-08","2019","01","08","","-9.0","","-19.7","","-14.4","","32.4","","0.0","","","","","","2.9","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2019-01-09","2019","01","09","","-5.6","","-9.6","","-7.6","","25.6","","0.0","","","","","","0.8","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2019-01-10","2019","01","10","","-0.3","","-10.4","","-5.4","","23.4","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2019-01-11","2019","01","11","","6.0","","-2.1","","2.0","","16.0","","0.0","","","","","","0.0","","","","15","","39",""
"-122.51","53.03","QUESNEL","1096629","2019-01-12","2019","01","12","","5.8","","-0.9","","2.5","","15.5","","0.0","","","","","","0.0","","","","","M","","M"
