"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.51","53.03","QUESNEL","1096629","2024-01-01","2024","01","01","","1.3","","-4.7","","-1.7","","19.7","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-02","2024","01","02","","-2.3","","-5.5","","-3.9","","21.9","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-03","2024","01","03","","3.1","","-2.8","","0.2","","17.8","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-04","2024","01","04","","3.1","","-1.3","","0.9","","17.1","","0.0","","","","","","0.8","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-05","2024","01","05","","0.7","","-3.7","","-1.5","","19.5","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-06","2024","01","06","","-1.4","","-6.1","","-3.8","","21.8","","0.0","","","","","","0.0","","","","34","","35",""
"-122.51","53.03","QUESNEL","1096629","2024-01-07","2024","01","07","","-2.4","","-12.1","","-7.3","","25.3","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-08","2024","01","08","","-2.2","","-12.0","","-7.1","","25.1","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-09","2024","01","09","","-2.3","","-11.0","","-6.7","","24.7","","0.0","","","","","","0.0","","","","34","","41",""
"-122.51","53.03","QUESNEL","1096629","2024-01-10","2024","01","10","","-10.9","","-18.6","","-14.8","","32.8","","0.0","","","","","","0.0","","","","31","","35",""
"-122.51","53.03","QUESNEL","1096629","2024-01-11","2024","01","11","","-18.6","","-27.5","","-23.1","","41.1","","0.0","","","","","","0.0","","","","35","","50",""
"-122.51","53.03","QUESNEL","1096629","2024-01-12","2024","01","12","","-25.3","","-35.1","","-30.2","","48.2","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-13","2024","01","13","","-20.0","","-32.1","","-26.1","","44.1","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-14","2024","01","14","","-18.0","","-24.8","","-21.4","","39.4","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-15","2024","01","15","","-12.3","","-25.5","","-18.9","","36.9","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-16","2024","01","16","","-9.9","","-12.7","","-11.3","","29.3","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-17","2024","01","17","","-9.2","","-19.8","","-14.5","","32.5","","0.0","","","","","","0.0","","","","34","","32",""
"-122.51","53.03","QUESNEL","1096629","2024-01-18","2024","01","18","","-15.2","","-25.8","","-20.5","","38.5","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-19","2024","01","19","","-11.9","","-22.9","","-17.4","","35.4","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-20","2024","01","20","","-7.2","","-11.9","","-9.6","","27.6","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-21","2024","01","21","","-4.0","","-7.4","","-5.7","","23.7","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-22","2024","01","22","","-2.2","","-4.7","","-3.5","","21.5","","0.0","","","","","","0.0","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-23","2024","01","23","","2.5","","-4.1","","-0.8","","18.8","","0.0","","","","","","2.9","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-24","2024","01","24","","3.3","","-2.3","","0.5","","17.5","","0.0","","","","","","11.9","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-25","2024","01","25","","3.7","","-1.0","","1.4","","16.6","","0.0","","","","","","8.4","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-26","2024","01","26","","4.1","","-3.8","","0.2","","17.8","","0.0","","","","","","8.2","","","","","M","","M"
"-122.51","53.03","QUESNEL","1096629","2024-01-27","2024","01","27","","8.0","","2.6","","5.3","","12.7","","0.0","","","","","","0.7","","","","15","","39",""
"-122.51","53.03","QUESNEL","1096629","2024-01-28","2024","01","28","","9.2","","-2.2","","3.5","","14.5","","0.0","","","","","","0.0","","","","14","","37",""
"-122.51","53.03","QUESNEL","1096629","2024-01-29","2024","01","29","","12.2","","2.8","","7.5","","10.5","","0.0","","","","","","0.0","","","","16","","35",""
"-122.51","53.03","QUESNEL","1096629","2024-01-30","2024","01","30","","12.6","","-1.3","","5.7","","12.3","","0.0","","","","","","0.5","","","","20","","52",""
"-122.51","53.03","QUESNEL","1096629","2024-01-31","2024","01","31","","13.4","","-1.9","","5.8","","12.2","","0.0","","","","","","0.0","","","","15","","33",""
