"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.51","53.03","QUESNEL","1096629","2014-01-01","2014","01","01","","1.8","","-3.8","","-1.0","","19.0","","0.0","","","M","","M","0.5","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-02","2014","01","02","","1.9","","0.1","","1.0","","17.0","","0.0","","","M","","M","17.6","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-03","2014","01","03","","2.2","","-10.1","","-4.0","","22.0","","0.0","","","M","","M","","M","","","36","","33",""
"-122.51","53.03","QUESNEL","1096629","2014-01-04","2014","01","04","","-8.6","","-14.2","","-11.4","","29.4","","0.0","","","M","","M","","M","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-05","2014","01","05","","-4.8","E","","M","","M","","M","","M","","M","","M","0.0","","","","15","","32",""
"-122.51","53.03","QUESNEL","1096629","2014-01-06","2014","01","06","","-4.3","","-11.1","","-7.7","","25.7","","0.0","","","M","","M","","M","","","16","","32",""
"-122.51","53.03","QUESNEL","1096629","2014-01-07","2014","01","07","","-1.5","","-10.3","","-5.9","","23.9","","0.0","","","M","","M","0.5","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-08","2014","01","08","","0.9","","-3.7","","-1.4","","19.4","","0.0","","","M","","M","1.3","","","","15","","32",""
"-122.51","53.03","QUESNEL","1096629","2014-01-09","2014","01","09","","0.6","","-2.6","","-1.0","","19.0","","0.0","","","M","","M","7.6","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-10","2014","01","10","","0.4","","-7.3","","-3.5","","21.5","","0.0","","","M","","M","5.3","","","","14","","41",""
"-122.51","53.03","QUESNEL","1096629","2014-01-11","2014","01","11","","1.5","","-2.4","","-0.5","","18.5","","0.0","","","M","","M","0.8","","","","16","","35",""
"-122.51","53.03","QUESNEL","1096629","2014-01-12","2014","01","12","","0.7","","-11.3","","-5.3","","23.3","","0.0","","","M","","M","2.3","","","","31","","39",""
"-122.51","53.03","QUESNEL","1096629","2014-01-13","2014","01","13","","8.8","","-1.7","","3.6","","14.4","","0.0","","","M","","M","1.3","","","","34","","61",""
"-122.51","53.03","QUESNEL","1096629","2014-01-14","2014","01","14","","5.3","","0.5","","2.9","","15.1","","0.0","","","M","","M","0.0","","","","14","","39",""
"-122.51","53.03","QUESNEL","1096629","2014-01-15","2014","01","15","","5.7","","-4.1","","0.8","","17.2","","0.0","","","M","","M","0.0","","","","13","","37",""
"-122.51","53.03","QUESNEL","1096629","2014-01-16","2014","01","16","","3.5","","-4.5","","-0.5","","18.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-17","2014","01","17","","2.2","","-5.5","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-18","2014","01","18","","2.6","","-10.0","","-3.7","","21.7","","0.0","","","M","","M","0.0","","","","15","","33",""
"-122.51","53.03","QUESNEL","1096629","2014-01-19","2014","01","19","","-1.1","","-13.0","","-7.1","","25.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-20","2014","01","20","","-2.1","","-13.4","","-7.8","","25.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-21","2014","01","21","","-0.2","","-5.1","","-2.7","","20.7","","0.0","","","M","","M","3.8","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-22","2014","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-122.51","53.03","QUESNEL","1096629","2014-01-23","2014","01","23","","-0.3","","-3.1","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-24","2014","01","24","","-0.1","","-5.6","","-2.9","","20.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-25","2014","01","25","","-1.3","","-4.8","","-3.1","","21.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-26","2014","01","26","","-1.0","","-3.3","","-2.2","","20.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-27","2014","01","27","","-1.6","","-3.2","","-2.4","","20.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-28","2014","01","28","","-1.6","","-3.4","","-2.5","","20.5","","0.0","","","M","","M","1.6","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-01-29","2014","01","29","","-1.4","","-4.9","","-3.2","","21.2","","0.0","","","M","","M","3.3","","","","32","","43",""
"-122.51","53.03","QUESNEL","1096629","2014-01-30","2014","01","30","","-4.9","","-21.5","","-13.2","","31.2","","0.0","","","M","","M","0.0","","","","33","","41",""
"-122.51","53.03","QUESNEL","1096629","2014-01-31","2014","01","31","","-14.0","","-23.9","","-19.0","","37.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-02-01","2014","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-122.51","53.03","QUESNEL","1096629","2014-02-02","2014","02","02","","-11.9","","-19.7","","-15.8","","33.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-02-03","2014","02","03","","-10.4","","-27.7","","-19.1","","37.1","","0.0","","","M","","M","0.0","","","","32","","44",""
"-122.51","53.03","QUESNEL","1096629","2014-02-04","2014","02","04","","-13.3","","-26.8","","-20.1","","38.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-02-05","2014","02","05","","-17.2","","-31.3","","-24.3","","42.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-02-06","2014","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-122.51","53.03","QUESNEL","1096629","2014-02-07","2014","02","07","","-19.1","","-34.8","","-27.0","","45.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-02-08","2014","02","08","","-17.3","","-32.9","","-25.1","","43.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-02-09","2014","02","09","","-17.2","","-31.1","","-24.2","","42.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-02-10","2014","02","10","","-8.7","","-26.6","","-17.7","","35.7","","0.0","","","M","","M","0.3","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2014-02-11","2014","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-122.51","53.03","QUESNEL","1096629","2014-02-12","2014","02","12","","6.2","","-6.3","","-0.1","","18.1","","0.0","","","M","","M","0.0","","","","14","","33",""
"-122.51","53.03","QUESNEL","1096629","2014-02-13","2014","02","13","","7.6","","-5.8","","0.9","","17.1","","0.0","","","M","","M","0.0","","","","","","<31",""
